Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1 uF,CP_Elec_4x5.4,132.3848,-103.886,-90,top
C2,1 uF,CP_Elec_4x5.4,133.35,-97.917,0,top
Q1,TIP41A,SOT-23,136.906,-104.14,-90,top
Q2,TIP41A,SOT-23,118.2116,-97.0788,180,top
R1,240Ω,R_1206_3216Metric,121.412,-102.362,90,top
R2,1k,R_0805_2012Metric,117.4496,-101.7524,90,top
R3,rm,R_1206_3216Metric,137.922,-97.8916,-90,top
R4,rm,R_1206_3216Metric,121.412,-97.663,90,top
R5,rb,R_1206_3216Metric,140.3096,-101.2952,-90,top
R6,rb,R_1206_3216Metric,134.6708,-93.726,180,top
RV1,50k,PTV09A4030SA503,127.341,-81.755,180,top
U1,LM317M_SOT-223,SOT-223-3_TabPin2,126.238,-99.822,90,top
U2,ATtiny85-20P,DIP-8_W7.62mm,141.1732,-90.932,180,top
